Time, Temperature
0,35.0
1,34.0
2,32.52668957
3,30.03202027
4,28.79534575
5,27.55867124
6,25.83159344
7,23.4861222
8,22.24945041
9,21.01276081
10,19.77609124
11,18.53943874
12,17.7505
13,17.7505
14,17.23865823
15,14.65879763
16,13.42215874
17,12.18541101
18,10.94877953
19,9.712175044
20,8.475442901
21,7.23881142
22,6.002177671
23,4.669472191
24,2.633296626
25,0.6929625
26,-0.543727333
27,-1.780332529
28,-3.017109939
29,-4.25374142
30,-5.490407
31,-6.727118045
32,-7.76118929
33,-8.23881071
34,-8.71643213
35,-8.95524284
36,-9.19405355
37,-9.43286426
38,-9.67167497
39,-10.89552245
40,-11.46060237
41,-12.66526763
42,-13.40088899
43,-14.84009971
44,-16.40725195
45,-18.1770071
46,-19.41363858
47,-20.63963527
48,-21.35392521
49,-22.59055669
50,-23.82725
51,-25.59704331
52,-26.83365253
53,-28.07042994
54,-29.30706142
55,-30.54373
56,-31.78044805
57,-33.21965876
58,-33.72058379
59,-34.95736615
60,-36.24730145
61,-37.96376126
62,-39.42435539
63,-41.27930261
64,-42.34542245
65,-42.91050237
66,-44.14714126
67,-45.38388899
68,-46.62048247
69,-47.85705195
70,-49.6269071
71,-50.78891487
72,-52.63317253
73,-53.86992521
74,-55.10655669
75,-56.34325
76,-57.57994331
77,-58.81655253
78,-60.05332994
79,-61.36459913
80,-63.05973
81,-64.29644805
82,-65.53307953
83,-66.76968379
84,-68.00646615
85,-69.24309763
86,-70.6183289
87,-72.47339739
88,-74.01921574
89,-75.11729333
90,-77.02560237
91,-78.26224126
92,-79.49898899
93,-80.73562047
94,-82.26005093
95,-84.2751071
96,-85.51173858
96,-85.43711487
97,-87.29200979
98,-89.05122521
99,-90.28785669
100,-91.52455
101,-93.29432494
102,-94.43524084
103,-96.27994965
104,-98.75344339
105,-100.9062947
106,-102.3880371
107,-104.4453759
108,-105.5645522
109,-107.4516937
110,-108.6883527
111,-109.9250116
112,-111.6093411
113,-113.7740742
114,-115.2349884
115,-116.418471
116,-118.2413063
117,-119.4779652
118,-120.7146241
119,-121.9506153
120,-123.1864049
121,-124.3495464
122,-126.1940232
123,-127.4306821
124,-128.6673411
125,-130.1705
126,-131.1406589
127,-132.3773179
128,-133.6139768
129,-134.7759582
130,-135.715442
131,-137.8147694
132,-139.6263759
133,-140.8630348
134,-142.0675406
135,-143.8161763
136,-144.5730116
137,-145.8100905
138,-146.7381647
139,-148.2839884
140,-149.5206473
141,-150.7251531
142,-151.4609652
143,-152.6976241
144,-153.9336153
145,-155.1694049
146,-156.4073643
147,-157.6545348
148,-159.4136821
149,-160.8315116
150,-162.42
151,-163.8273179
152,-166.396297
153,-168.2524652
154,-170.0326357
155,-171.909884
156,-175.6181541
157,-179.1997517
158,-181.7905522
159,-183.6776937
160,-185.0207053
161,-187.3555174
162,-188.539
163,-189.606
164,-188.4004942
165,-189.072
166,-189.072
167,-189.072
168,-189.072
169,-189.072
170,-189.072
171,-189.072
172,-189.072
173,-189.1680209
174,-189.606
175,-189.606
176,-189.606
177,-189.606
178,-189.604
178,-189.606
179,-189.606
